32125, the Ville, house_1
32126, the Ville, house_2
32127, the Ville, house_3
32128, the Ville, house_4
32129, the Ville, house_5
32130, the Ville, house_6
32131, the Ville, house_7
32132, the Ville, house_8
32133, the Ville, house_9
32134, the Ville, house_10
32135, the Ville, artist_co_living_space
32136, the Ville, cafe_house
32137, the Ville, single_house_6
32138, the Ville, house_11
32139, the Ville, house_12
32140, the Ville, house_13
32141, the Ville, single_home_1
32142, the Ville, single_home_2
32143, the Ville, single_home_3
32146, the Ville, school
32147, the Ville, two_bedroom_house_1
32148, the Ville, single_home_4
32149, the Ville, single_home_5
32150, the Ville, apartment_unit_A
32151, the Ville, apartment_unit_B
32152, the Ville, apartment_unit_C
32153, the Ville, apartment_unit_D
32154, the Ville, government_building
32155, the Ville, single_house_1
32156, the Ville, Johnson Park
32157, the Ville, music_studio_house
32158, the Ville, universal_school
32166, the Ville, supply_store
32167, the Ville, two_bedroom_house_2
32175, the Ville, single_house_2
32176, the Ville, pharmacy
32177, the Ville, dorm_building
32185, the Ville, single_house_3
32186, the Ville, single_house_4
32195, the Ville, bar_house
32196, the Ville, single_house_5
